name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,,899232,29,4.71s,105.61ms,411.70us,105.57ms,631.69us,104.18ms,107.10ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),lean/backtracker,v4.20.0,timeout: exceeded 60s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,,1570556,29,4.71s,105.92ms,248.80us,105.94ms,366.31us,105.34ms,106.66ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),lean/backtracker,v4.20.0,timeout: exceeded 60s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,,813478,74,4.56s,40.57ms,185.28us,40.65ms,341.09us,40.02ms,42.47ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),lean/backtracker,v4.20.0,timeout: exceeded 60s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,,899232,8,4.61s,377.24ms,1.55ms,377.89ms,2.97ms,375.13ms,384.76ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),lean/backtracker,v4.20.0,timeout: exceeded 60s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,,1570556,8,4.66s,379.67ms,1.24ms,380.09ms,1.71ms,378.26ms,383.29ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),lean/backtracker,v4.20.0,timeout: exceeded 60s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,,813478,22,4.71s,141.26ms,313.49us,141.50ms,1.01ms,140.03ms,145.06ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),lean/backtracker,v4.20.0,timeout: exceeded 60s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,,268796,1,10.22s,5.07s,0.00ns,5.07s,0.00ns,5.07s,5.07s
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),lean/backtracker,v4.20.0,timeout: exceeded 60s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,,268796,1,10.27s,5.10s,0.00ns,5.10s,0.00ns,5.10s,5.10s
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),lean/backtracker,v4.20.0,timeout: exceeded 60s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,,102,63747,4.56s,46.29us,531.00ns,47.00us,5.86us,42.49us,606.70us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 19aa8e8e3b),lean/backtracker,v4.20.0,,102,9369,4.56s,317.60us,2.32us,320.11us,21.20us,298.24us,1.49ms
