name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,,899232,28,4.61s,107.08ms,0.98ms,108.29ms,3.13ms,105.29ms,117.55ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,143687,4.62s,19.34us,320.00ns,20.81us,10.37us,18.30us,1.73ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,899232,188,4.56s,15.87ms,69.84us,15.99ms,401.69us,15.73ms,18.91ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,40483,4.56s,72.42us,330.00ns,74.04us,9.96us,71.73us,762.71us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,899232,149,4.56s,20.14ms,80.67us,20.23ms,430.00us,19.80ms,23.91ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,,1570556,29,4.66s,106.41ms,136.40us,106.54ms,522.47us,105.99ms,108.64ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,90313,4.56s,32.41us,69.00ns,33.15us,3.98us,31.81us,384.81us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,1570556,172,4.56s,17.46ms,84.91us,17.50ms,276.93us,17.26ms,19.80ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,20192,4.56s,146.25us,831.00ns,148.52us,15.70us,143.73us,1.41ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,,813478,74,4.61s,40.71ms,251.55us,40.95ms,768.48us,40.02ms,45.26ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,813478,213277,4.62s,13.57us,99.00ns,14.00us,3.65us,12.79us,201.35us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,813478,430,4.56s,6.86ms,68.46us,6.98ms,489.10us,6.74ms,12.22ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,,899232,8,4.71s,386.66ms,1.21ms,384.60ms,3.88ms,376.09ms,388.34ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,47857,4.56s,60.72us,611.00ns,62.61us,21.41us,57.87us,820.90us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,899232,95,4.56s,31.30ms,679.38us,31.86ms,1.76ms,30.45ms,41.41ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,10824,4.56s,273.71us,3.00us,277.10us,42.05us,262.74us,2.32ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,899232,71,4.56s,41.80ms,549.81us,42.40ms,1.97ms,40.32ms,53.07ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,,1570556,8,4.81s,392.59ms,9.36ms,402.83ms,21.54ms,381.94ms,444.96ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,21134,4.56s,129.62us,5.74us,141.86us,50.48us,117.42us,1.85ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,1570556,77,4.61s,38.49ms,1.79ms,39.38ms,3.90ms,34.70ms,57.98ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,2896,4.56s,1.01ms,44.34us,1.04ms,165.88us,920.13us,3.10ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,,813478,20,4.71s,150.37ms,5.87ms,152.48ms,8.75ms,141.92ms,171.76ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,813478,61623,4.56s,47.08us,1.64us,48.61us,14.72us,44.86us,613.87us
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,813478,208,4.56s,13.91ms,760.14us,14.47ms,1.78ms,12.53ms,25.20ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,timeout: exceeded 10s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,268796,1418,4.56s,2.09ms,11.23us,2.12ms,167.22us,2.03ms,4.16ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,268796,9,4.71s,332.98ms,12.10ms,340.30ms,17.38ms,320.88ms,368.72ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.20.0,timeout: exceeded 10s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,268796,1387,4.56s,2.14ms,10.62us,2.16ms,165.58us,2.03ms,4.63ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,,826,4.56s,1.70ms,38.08us,1.73ms,217.85us,1.57ms,3.81ms
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,,1389,4.56s,412.13us,10.66us,421.99us,78.99us,380.79us,2.55ms
curated/03-date/compile-unicode,compile,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,,240,4.56s,6.66ms,228.87us,6.89ms,808.33us,6.19ms,11.03ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,32514634,131,4.61s,22.79ms,227.35us,23.02ms,720.93us,22.43ms,25.11ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,32514634,3,6.31s,1.24s,2.41ms,1.24s,2.05ms,1.24s,1.24s
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,32514634,131,4.61s,22.89ms,90.90us,23.06ms,533.11us,22.67ms,25.26ms
curated/04-ruff-noqa/tweaked,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,32514634,6,5.36s,586.52ms,5.54ms,588.76ms,7.96ms,580.24ms,603.54ms
