name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,,899232,28,4.66s,107.55ms,381.75us,107.82ms,1.22ms,106.45ms,112.91ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,,1570556,28,4.61s,108.32ms,306.77us,108.35ms,625.24us,107.75ms,111.11ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,,813478,73,4.61s,41.34ms,188.39us,41.37ms,253.73us,40.87ms,42.05ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,,899232,7,5.06s,447.43ms,1.25ms,450.77ms,5.72ms,445.36ms,460.94ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,,1570556,7,5.06s,453.72ms,759.70us,454.51ms,4.06ms,450.65ms,463.98ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,,813478,18,4.61s,166.39ms,1.18ms,166.99ms,1.55ms,164.99ms,170.05ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,timeout: exceeded 10s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,timeout: exceeded 10s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,,102,55449,4.56s,53.38us,721.00ns,54.03us,4.18us,47.86us,233.46us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,,10001,585,4.56s,5.07ms,38.66us,5.13ms,527.40us,4.84ms,12.72ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,,1913704,4,5.41s,885.61ms,2.04ms,886.85ms,4.03ms,882.81ms,893.36ms
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,,,63266,4.56s,16.98us,200.00ns,17.16us,1.82us,15.37us,156.48us
curated/09-aws-keys/full,grep-captures,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,timeout: exceeded 10s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/09-aws-keys/quick,grep,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,timeout: exceeded 10s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,,,135709,4.56s,7.65us,100.00ns,7.81us,2.09us,6.82us,180.12us
curated/14-quadratic/1x,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,,100,2891,4.56s,1.01ms,26.79us,1.04ms,121.07us,930.01us,2.82ms
curated/14-quadratic/2x,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,,200,778,4.56s,3.77ms,104.12us,3.86ms,227.16us,3.61ms,5.63ms
curated/14-quadratic/10x,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3,,1000,34,4.61s,90.12ms,1.36ms,89.78ms,1.82ms,87.06ms,94.21ms
