name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),,899232,15,4.81s,206.90ms,5.77ms,209.17ms,12.83ms,197.89ms,250.02ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),,1570556,26,4.71s,114.02ms,2.75ms,116.42ms,5.76ms,110.08ms,132.22ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),,813478,50,4.66s,59.85ms,1.91ms,60.68ms,3.09ms,56.65ms,71.11ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),,899232,4,5.06s,824.62ms,9.12ms,829.68ms,17.12ms,812.41ms,857.08ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),,1570556,4,5.26s,835.01ms,7.26ms,838.42ms,13.93ms,822.89ms,860.78ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),,813478,10,4.96s,309.60ms,6.16ms,313.81ms,13.69ms,303.31ms,350.94ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),timeout: exceeded 10s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),timeout: exceeded 10s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),,102,29929,4.56s,94.24us,4.00us,100.10us,19.24us,85.04us,423.88us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),,10001,269,4.61s,10.68ms,360.62us,11.19ms,2.03ms,9.25ms,26.45ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),,1913704,2,5.31s,1.75s,5.46ms,1.75s,5.46ms,1.75s,1.76s
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),,,30133,4.61s,38.12us,1.73us,40.54us,8.22us,34.51us,650.35us
curated/09-aws-keys/full,grep-captures,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),timeout: exceeded 10s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/09-aws-keys/quick,grep,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),,32514634,1,7.72s,3.76s,0.00ns,3.76s,0.00ns,3.76s,3.76s
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),,,69693,4.61s,16.35us,561.00ns,17.43us,3.87us,14.55us,254.36us
curated/14-quadratic/1x,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),,100,1557,4.56s,1.89ms,102.36us,1.93ms,214.68us,1.67ms,4.71ms
curated/14-quadratic/2x,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),,200,411,4.61s,7.10ms,152.54us,7.31ms,618.04us,6.60ms,12.17ms
curated/14-quadratic/10x,count,0.1.0 (rev 19aa8e8e3b),lean,v4.22.0-rc3 (d583eea),,1000,18,4.81s,174.32ms,6.00ms,175.57ms,7.48ms,166.02ms,191.90ms
