name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,899232,15,4.81s,199.09ms,4.47ms,206.39ms,28.79ms,191.59ms,310.05ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,1570556,27,4.71s,112.95ms,2.94ms,112.45ms,6.50ms,92.46ms,129.12ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,813478,51,4.66s,57.65ms,1.13ms,59.62ms,4.49ms,55.51ms,78.97ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,899232,4,4.91s,808.84ms,12.29ms,810.33ms,16.54ms,789.00ms,834.63ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,1570556,4,5.06s,818.94ms,6.55ms,828.81ms,21.69ms,812.09ms,865.28ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,813478,10,4.66s,305.96ms,5.63ms,304.87ms,9.38ms,290.94ms,324.67ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),timeout: exceeded 10s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),timeout: exceeded 10s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/06-cloud-flare-redos/original,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,107,21082,4.61s,135.40us,8.49us,142.15us,23.66us,120.09us,662.08us
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,102,30622,4.61s,92.06us,3.98us,97.85us,18.89us,82.30us,521.01us
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,10001,319,4.61s,9.08ms,262.84us,9.41ms,882.13us,8.14ms,14.01ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,1913704,2,5.11s,1.70s,8.97ms,1.70s,8.97ms,1.69s,1.71s
curated/07-unicode-character-data/compile,compile,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,,30649,4.61s,38.76us,1.88us,41.12us,7.59us,34.41us,219.89us
curated/08-words/all-english,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,76401,59,4.61s,49.65ms,868.22us,50.90ms,2.88ms,47.99ms,59.50ms
curated/08-words/long-english,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,76401,94,4.61s,30.81ms,1.47ms,32.09ms,3.30ms,28.65ms,44.64ms
curated/09-aws-keys/full,grep-captures,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),timeout: exceeded 10s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/09-aws-keys/quick,grep,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,32514634,1,7.56s,3.68s,0.00ns,3.68s,0.00ns,3.68s,3.68s
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,,70307,4.61s,16.37us,682.00ns,17.39us,3.68us,14.67us,215.58us
curated/10-bounded-repeat/letters-en,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,151522,34,4.61s,87.21ms,5.09ms,88.60ms,6.61ms,81.06ms,105.24ms
curated/11-unstructured-to-json/extract,grep-captures,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,23952,133,4.61s,21.81ms,819.04us,22.59ms,1.72ms,20.53ms,28.56ms
curated/11-unstructured-to-json/compile,compile,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,,15124,4.56s,25.74us,0.95us,27.29us,4.72us,23.77us,92.15us
curated/14-quadratic/1x,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,100,1607,4.56s,1.81ms,103.40us,1.87ms,247.76us,1.63ms,4.75ms
curated/14-quadratic/2x,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,200,431,4.61s,6.79ms,155.65us,6.97ms,554.57us,6.33ms,11.66ms
curated/14-quadratic/10x,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (1866dd7),,1000,18,4.71s,166.64ms,3.25ms,170.47ms,8.34ms,161.93ms,188.56ms
