name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (v4.23.0-rc2),,899232,16,4.76s,196.53ms,4.88ms,197.28ms,7.53ms,187.68ms,211.31ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,899232,86,4.56s,34.04ms,605.26us,34.91ms,2.16ms,32.14ms,44.05ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,899232,70,4.61s,42.69ms,2.91ms,43.11ms,5.93ms,31.43ms,67.18ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (v4.23.0-rc2),,1570556,28,4.71s,107.78ms,1.79ms,109.28ms,8.20ms,76.31ms,123.51ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,1570556,78,4.56s,37.88ms,1.67ms,38.50ms,4.52ms,27.25ms,62.47ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (v4.23.0-rc2),,813478,52,4.66s,56.62ms,2.26ms,57.92ms,6.17ms,42.89ms,77.12ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,813478,202,4.56s,14.38ms,304.97us,14.87ms,1.26ms,13.74ms,21.40ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (v4.23.0-rc2),,899232,4,4.91s,809.31ms,14.68ms,814.17ms,23.49ms,787.39ms,850.66ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,899232,43,4.61s,69.02ms,3.19ms,70.60ms,4.97ms,64.87ms,86.72ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,899232,32,4.61s,91.37ms,3.44ms,94.65ms,9.45ms,86.89ms,124.96ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (v4.23.0-rc2),,1570556,4,5.11s,836.04ms,7.89ms,840.17ms,16.59ms,821.61ms,866.97ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,1570556,41,4.66s,73.92ms,1.21ms,74.96ms,3.11ms,69.88ms,82.68ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (v4.23.0-rc2),,813478,11,5.16s,299.86ms,8.13ms,296.03ms,13.06ms,268.26ms,318.45ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,813478,110,4.56s,27.09ms,541.94us,27.47ms,1.56ms,24.86ms,35.86ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (v4.23.0-rc2),timeout: exceeded 10s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,268796,5,5.76s,709.98ms,4.95ms,708.30ms,15.88ms,683.12ms,732.99ms
curated/03-date/unicode,count-spans,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (v4.23.0-rc2),timeout: exceeded 10s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/03-date/compile-ascii,compile,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,,651,4.51s,907.12us,59.81us,0.97ms,157.06us,825.31us,2.29ms
curated/04-ruff-noqa/real,grep-captures,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,32514634,2,8.52s,2.74s,40.36ms,2.74s,40.36ms,2.70s,2.78s
