name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),go/regexp,1.18.1,,899232,6128,4.56s,453.13us,25.67us,489.40us,112.65us,397.76us,2.04ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (v4.23.0-rc2),,899232,16,4.66s,191.21ms,3.82ms,192.86ms,7.23ms,184.84ms,213.15ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,899232,86,4.56s,33.52ms,1.05ms,35.07ms,4.13ms,30.78ms,55.35ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),go/regexp,1.18.1,,899232,63,4.61s,46.93ms,2.46ms,48.12ms,4.28ms,42.40ms,60.42ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,899232,64,4.56s,46.74ms,3.74ms,47.28ms,4.67ms,41.17ms,60.71ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),go/regexp,1.18.1,,1570556,1598,4.56s,1.80ms,100.78us,1.88ms,276.35us,1.65ms,4.07ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (v4.23.0-rc2),,1570556,29,4.71s,104.81ms,2.35ms,107.02ms,8.22ms,87.37ms,133.24ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,1570556,76,4.61s,38.60ms,705.03us,39.73ms,2.56ms,36.08ms,47.74ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),go/regexp,1.18.1,,1570556,26,4.61s,114.41ms,2.53ms,117.00ms,6.38ms,111.40ms,135.96ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),go/regexp,1.18.1,,813478,4017,4.56s,706.08us,26.06us,746.72us,184.17us,523.82us,4.38ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (v4.23.0-rc2),,813478,54,4.66s,54.98ms,1.56ms,56.12ms,3.12ms,52.13ms,63.60ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,813478,208,4.56s,14.14ms,536.30us,14.49ms,2.12ms,10.19ms,33.43ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),go/regexp,1.18.1,,899232,36,4.61s,82.35ms,2.70ms,84.89ms,7.17ms,70.79ms,107.96ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (v4.23.0-rc2),,899232,4,4.96s,798.25ms,20.28ms,796.31ms,23.98ms,763.34ms,825.38ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,899232,43,4.56s,66.32ms,2.74ms,69.98ms,11.45ms,49.65ms,115.13ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),go/regexp,1.18.1,,899232,22,4.61s,132.91ms,5.08ms,136.51ms,13.35ms,123.89ms,183.97ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/lite,0.1.6,,899232,27,4.66s,112.88ms,3.18ms,113.32ms,7.21ms,99.51ms,133.08ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),go/regexp,1.18.1,,1570556,26,4.71s,116.45ms,5.57ms,119.40ms,11.90ms,105.32ms,152.33ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),lean,v4.23.0-rc2 (v4.23.0-rc2),,1570556,4,4.81s,783.62ms,17.89ms,780.91ms,23.60ms,746.41ms,810.00ms
