name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev cb76889b90),lean,110b998a,,899232,12,4.86s,262.11ms,1.54ms,263.84ms,3.44ms,260.50ms,270.75ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev cb76889b90),lean,110b998a,,1570556,12,5.01s,266.65ms,1.80ms,267.53ms,2.57ms,263.75ms,272.64ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev cb76889b90),lean,110b998a,,813478,30,4.61s,99.54ms,932.69us,100.77ms,3.10ms,98.00ms,108.99ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev cb76889b90),lean,110b998a,,899232,4,5.11s,848.90ms,20.64ms,850.61ms,22.89ms,825.31ms,879.30ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev cb76889b90),lean,110b998a,,1570556,4,5.61s,908.36ms,11.95ms,905.46ms,18.55ms,876.98ms,928.14ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev cb76889b90),lean,110b998a,,813478,10,4.86s,318.72ms,5.06ms,320.26ms,6.86ms,311.57ms,334.16ms
curated/03-date/ascii,count-spans,0.1.0 (rev cb76889b90),lean,110b998a,,268796,1,22.95s,11.30s,0.00ns,11.30s,0.00ns,11.30s,11.30s
curated/03-date/unicode,count-spans,0.1.0 (rev cb76889b90),lean,110b998a,,268796,1,22.65s,11.25s,0.00ns,11.25s,0.00ns,11.25s,11.25s
curated/06-cloud-flare-redos/simplified-short,count-spans,0.1.0 (rev cb76889b90),lean,110b998a,,102,28849,4.61s,99.86us,591.00ns,103.74us,13.10us,94.41us,0.98ms
curated/06-cloud-flare-redos/simplified-long,count-spans,0.1.0 (rev cb76889b90),lean,110b998a,,10001,303,4.61s,9.66ms,113.66us,9.91ms,0.96ms,9.43ms,21.62ms
curated/07-unicode-character-data/parse-line,grep-captures,0.1.0 (rev cb76889b90),lean,110b998a,,1913704,2,5.76s,1.88s,12.49ms,1.88s,12.49ms,1.87s,1.90s
curated/07-unicode-character-data/compile,compile,0.1.0 (rev cb76889b90),lean,110b998a,,,29463,4.56s,32.48us,140.00ns,34.04us,9.89us,31.29us,1.28ms
curated/09-aws-keys/full,grep-captures,0.1.0 (rev cb76889b90),lean,110b998a,timeout: exceeded 120s,,0,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns,0.00ns
curated/09-aws-keys/quick,grep,0.1.0 (rev cb76889b90),lean,110b998a,,32514634,1,59.33s,29.53s,0.00ns,29.53s,0.00ns,29.53s,29.53s
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev cb76889b90),lean,110b998a,,,74207,4.62s,13.79us,59.00ns,14.52us,3.82us,13.23us,220.74us
curated/14-quadratic/1x,count,0.1.0 (rev cb76889b90),lean,110b998a,,100,1544,4.56s,1.87ms,33.89us,1.94ms,237.87us,1.78ms,4.13ms
curated/14-quadratic/2x,count,0.1.0 (rev cb76889b90),lean,110b998a,,200,416,4.56s,7.15ms,75.41us,7.22ms,269.31us,6.87ms,10.23ms
curated/14-quadratic/10x,count,0.1.0 (rev cb76889b90),lean,110b998a,,1000,17,4.71s,178.09ms,1.87ms,178.44ms,2.91ms,174.63ms,186.54ms
test/dot/default-new-line,count,0.1.0 (rev cb76889b90),lean,110b998a,,1,1000000,2.16s,792.00ns,9.00ns,842.00ns,4.21us,761.00ns,1.73ms
test/dot/default-carriage-return,count,0.1.0 (rev cb76889b90),lean,110b998a,,1,1000000,3.64s,1.54us,10.00ns,1.62us,3.42us,1.47us,1.51ms
test/func/leftmost-first,count-spans,0.1.0 (rev cb76889b90),lean,110b998a,,7,491156,4.70s,5.75us,39.00ns,5.96us,4.32us,5.50us,1.48ms
test/model/count,count,0.1.0 (rev cb76889b90),lean,110b998a,,37,141189,4.62s,20.32us,110.00ns,21.09us,5.32us,19.58us,1.28ms
test/model/count-spans,count-spans,0.1.0 (rev cb76889b90),lean,110b998a,,37,141947,4.62s,20.23us,90.00ns,20.96us,5.99us,19.22us,1.35ms
test/model/compile,compile,0.1.0 (rev cb76889b90),lean,110b998a,,,115108,4.62s,3.96us,20.00ns,4.14us,1.63us,3.83us,176.11us
